Question,Answer
что есть рядом со зданием университета?,рядом расположен парк горького
сколько занимает дорога от общежития до университета?,дорога от любого общежития занимает не более двадцати минут
что такое центр композиционных материалов?,"в этом центре производится разработка новых композитов, полимеров и конструкций, например материалы для реконструктивной хирургии"
что есть в библиотеке ниту мисис?,компьютеры с доступом в интернет и зоны для самоподготовки
где я могу заказать справку с места учебы?,все необходимые справки и выписки можно получить в студенческом офисе
что стоит посмотреть в здании университета?,"геологический музей имени ершова, здесь представлена коллекция из более чем трех тысяч различных минералов и руд"
где проводятся крупные мероприятия университета?,в доме культуры
какие творческие коллективы есть в ниту мисис?,"в ниту мисис более тридцати творческих коллективов, вокал, танцы, студенческие медиа, ораторское мастерство, квн"
где можно перекусить в университете?,"в главном корпусе есть центральная столовая, столовые и кафе есть в каждом корпусе"
где находятся общежития ниту мисис?,"комплекс общежитий металлург располагается на станциях метро беляево и калужская, а комплекс общежитий горняк и дом коммуна на станции ленинский проспект, также есть общежитие на станции студенческая"
какие мероприятия проводятся для будущих абитуриентов?,"в ниту мисис проводят университетские субботы, где рассказывают о перспективных направлениях университета"
где можно ознакомиться с правилами приема в университет?,вся информация о приемной кампании размещена на сайте универистета мисис точка ру в разделе поступающим
где можно посмотреть количество бюджетных мест на направлении?,вся информация о приемной кампании размещена на сайте универистета мисис точка ру в разделе поступающим
где можно посмотреть перечень вступительных испытаний?,вся информация о приемной кампании размещена на сайте универистета мисис точка ру в разделе поступающим
где можно посмотреть проходные баллы прошлых лет?,вся информация о приемной кампании размещена на сайте универистета мисис точка ру в разделе поступающим
сколько мест для приема?,"по программам бакалавриата и специалитета идет набор на более чем полторы тысячи мест, по программам магистратуры на более чем тысячу сто мест, по программам аспирантуры на более чем сто девяносто мест"
какие вступительные испытания нужны для поступления?,"для всех категорий поступающих на бакалавриат требуются результаты егэ, исключение для отдельных категорий поступающих, они поступают по внутренним вступительным испытаниям"
сколько дополнительных баллов можно получить за дополнительные достижения?,максимальное количество дополнительных баллов десять
за какие индивидуальные достижения можно получить дополнительные баллы?,"дополнительные баллы при поступлении можно получить за участие в мероприятиях, которые университет проводит для школьников, за аттестат с отличием, за значок ГТО, за волонтерство"
какие документы нужны для поступления?,"для поступления нужен документ удостоверяющий личность, документ об образовании, согласие на обработку персональных данных, документы, подтверждающие индивидуальные достижения и снилс"
как подать документы на поступление?,"есть три способа: лично, через операторов почтовой связи или с помощью электронных сервисов"
есть ли очно-заочная либо заочная форма обучения?,заочная форма обучения есть по конкурсу горное дело для обучения по образовательным программам специалитета
предоставляется ли общежитие студентам ниту мисис?,"на проживание в общежитии могут рассчитывать все иногородние студенты, нуждающиеся в нем, порядок предоставления общежития регламентирован положением об общежитии, которое можно найти на сайте"
можно ли подать документы на бюджетное и платное обучение одновременно?,"да, можно, но важно не забыть в случае непоступления на бюджетное место успеть в установленные сроки написать заявление о согласии на обучение на внебюджете, заключить договор и оплатить обучение"
возможно ли перевестись с внебюджета на бюджет в процессе обучения?,"да, возможно"
могут ли иностранные граждане поступать на бюджетные места?,"да, могут"
сколько комплектов документов нужно подавать при поступлении?,на все направления подготовки по всем формам и условиям обучения поступающий предоставляет один комплект документов
нужно ли нотариально заверять копии документов?,"нотариальное заверение копий документов не требуется. нотариально заверять нужно только доверенность, которая требуется в том случае, если документы подаёте не вы, а ваш родственник или друг. иностранным гражданам при подаче заявления необходимо иметь при себе оригиналы нотариально заверенных переводов документов, необходимых для поступления, на русский язык."
нужна ли при подаче документов справка формы 086/у?,"справка формы 086/у необходима при подаче документов при поступлении на обучение по специальности горное дело и направлениям подготовки электроэнергетика и электротехника и электроэнергетика и электротехника. кроме того, медицинская справка потребуется всем зачисленным при заселении в общежитие."
влияет ли на конкурс время подачи документов?,"нет, при поступлении на бюджетные, так и на внебюджетные места дата подачи документов не влияет на конкурсную ситуацию. вы можете подавать документы в течение всего периода приема документов, конкурс проводится на основании конкурсных баллов."
сколько лет действуют результаты ЕГЭ?,"результаты егэ действительны четыре года, следующие за годом сдачи"
"принимает ли ниту мисис в качестве результатов егэ по иностранному языку какой-то язык, кроме английского?","в качестве вступительного испытания по иностранному языку принимаются результаты егэ по английскому, немецкому, французскому, испанскому или китайскому языкам"
"какую математику нужно сдавать для поступления в ниту, профильный или базовый уровень?","у поступающих на все направления подготовки, в том числе экономические, ниту мисис принимает результаты только профильного уровня егэ по математике"
"я победитель одной из олимпиад, входящих в перечень. на какие льготы я могу рассчитывать?","вы сможете либо поступить без вступительных испытаний, либо получить максимум баллов по одному из предметов. полный перечень льгот для вас вы можете найти на сайте ниту мисис. обратите внимание, что роль здесь играет то, в каком классе вы стали победителем олимпиады"
сколько лет действуют результаты олимпиады?,"победителям и призерам олимпиад школьников предоставляются особые права при поступлении в течение 4 лет, следующих за годом проведения соответствующей олимпиады"
"можно ли суммировать баллы за индивидуальные достижения с одним из экзаменов егэ, по которому нет необходимого минимума?","нет. баллы за индивидуальные достижения прибавляются только к сумме конкурсных баллов, но не к какому-то одному экзамену отдельно"
дает ли дополнительные баллы за индивидуальные достижения итоговое сочинение?,"нет, при приеме в ниту мисис сочинение не учитывается."
как указать имеющиеся индивидуальные достижения при подаче документов?,"для указания имеющихся индивидуальных достижений, необходимо в соответствующем разделе личного кабинета внести информацию об индивидуальном достижении, указав серию, номер и дату выдачи подтверждающего документа и приложить скан-копию подтверждающего документа"
как записаться на вступительные испытания проводимые ниту мисис самостоятельно?,"если вы относитесь к категории граждан, имеющих право сдавать вступительный испытаний проводимые ниту мисис самостоятельно, то в личном кабинете поступающего необходимо выбрать предмет, и дату проведения вступительного испытания. после этого указать категорию граждан, имеющих право сдавать вступительные испытания"
на каком нарпавлении больше всего программирования?,больше всего программирования на направлении прикладная математика
можно ли совмещать обучение в магистратуре с работой?,"обучение в магистратуре происходит преимущественно в вечернее время, поэтому большинство студентов успешно совмещают работу с учебой"
хорошо ли развиты научные исследования в институте информационных технологий?,"да, в институте есть несколько молодежных лабораторий, работающих с промышленным интернетом вещей, анализом данных и робототехникой"
помогает ли институт информационных технологий с нахождением практики для студентов?,"да, у института есть более полутора тысяч партнеров как среди айти-корпораций, так и среди крупных промышленных предприятий"
какое направление больше подойдет для желающих разрабатывать мобильные приложения?,"в данном случае подойдут прикладная математика и прикладная информатика, к тому же крайне рекомендуется присоединиться к тематическому клубу айтэм"
есть ли в университете возможность заниматься разработкой компьютерных игр?,"да, в студенческом сообществе айтэм изучают робототехнику, геймдев и участвуют в хакатонах"
Какие направления подготовки есть в МИСиС?,"Лингвистика, Физика, Электроника и наноэлектроника, Материаловедение и технологии материалов, Нанотехнологии и наноматериалы, Прикладная математика, Информатика и вычислительная техника, Бизнес-информатика, Электроэнергетика и электротехника, Технологические машины и оборудование, Металлургия, Экономика и управление, Геотехнологии, Горное дело."
Когда был основан МИСиС?,"История Университет науки и технологий МИСиС началась больше ста лет назад, когда в 1918 году была создана Московская горная академия, в которой открылось металлургическое отделение. Университет постоянно расширялся, и уже в 1921 году отделения были преобразованы в факультеты, а к 1930 году академию разделили на шесть самостоятельных институтов. На сегодняшний день три из них — институт стали, цветных металлов и горный институт снова объединились в одно учебное заведение — Университет науки и технологий МИСиС."
В каком году был основан МИСиС?,НИТУ МИСиС существует как текущее объединение институтов с 2014 года.
Чем известен МИСиС?,Изначально университет был назван в честь Иосифа Сталина. Название было следующим: Московский институт стали имени Сталина.
Много ли иностранных студентов в МИСиС?,"В Университете МИСИ´С более 20 000 обучающихся, из них 25% — студенты из 86 стран мира."
Как поступить в МИСиС?,Для поступления необходимо пройти следующие этапы: знакомство с правилами приёма; выбор образовательной программы; уточнение сроков приёмной кампании; выбор способа подачи документов; проверка данных; наблюдение за ходом приёмной кампании.
Какие есть направления подготовки в аспирантуре?,"Физика кондексированного состояния; физика полупроводников; аналитическая химия; геоинформатика и картография; геоэкология; технология и оборудования для производства материалов и приборов электронной техники; системный анализ; управление и обработка информации; статистика; автоматизация и управление технологическими процессами и производствами; электротехнические комплексы и системы; технологии и машины обработки давлением; управление качеством продукции; стандартизация; организация производства; материаловедение и термическая обработка металлов и сплавов; металлургия чёрных, цветных и редких металлов; линейное производство; и другое."
Есть ли в МИСиС лаборатория?,В МИСиС 40 лабораторий и инижиниринговых центров.
Кем работают выпускники МИСиС?," Выпускники НИТУ МИСиС занимают позиции руководителей IT-проектов, разработчиков программного обеспечения, системных аналитиков, бизнес-аналитиков, специалистов по тестированию, консультантов по внедрению информационных систем."
Какие известные люди учились в МИСиС?,"Среди 77 российских миллиардеров, вошедших в ежегодный мировой рейтинг богатейших людей по версии журнала Forbes, присутствуют выпускники НИТУ МИСиС: Михаил Фридман ($13,3 млрд), Герман Хан ($8,7 млрд), Алексей Кузьмичев ($6,7 млрд) и Филарет Гальчев ($1,5 млрд). Их совокупное состояние оценивается в $30,2 млрд - и это самый высокий показатель среди ""сборных"" миллиардеров российских вузов."
Есть ли в МИСиС военная кафедра?,В НИТУ МИСиС нет военной кафедры.
Можно ли получить двойной диплом?,"Шансы найти высокооплачиваемую работу выше, если получить образование по двойным программам. НИТУ МИСиС предлагает широкий спектр программ двух дипломов с ведущими европейскими вузами, реализующихся на уровне магистратуры и специалитета."
Какая внеучебная деятельность есть в МИСиС?,"Ораторское искусство, вокал, команда КВН, танцевальные коллективы, спортивные секции, команда по подготовке к хакатонам и спортивное программирование."
Помогает ли МИСиС со стажировками для студентов?,"Да, университет сотрудничает с различными промышленными и технологическими организациями, которые направляют запрос на требуемых специалистов. Центр карьеры собирает базу релевантных стажировок для студентов и помогает с составлением резюме."
Есть ли в НИТУ МИСиС бюджетные места?,"Да, есть. С количеством бюджетных мест по каждому направлению подготовки/специальности можно ознакомиться на сайте университета."
Я из ДНР/ЛНР. Каким образом я могу поступить в НИТУ МИСиС?,Жители ДНР и ЛНР могут поступить в НИТУ МИСиС. Порядок поступления и список необходимых документов представлен на сайте.